Title,Publication_type,Journal,Abstract,PMID
Recuperación de la colonia de Miniopterus schreibersii de la cueva de Cueva de Ágreda (Soria),Scientific article,Barbastella,"En la cueva de Cueva de Ágreda (Soria) habitaba una colonia de 600-700 murciélagos de cueva en la década de 1990, que se redujo en los primeros años del presente siglo hasta los 100 ejemplares. En 2001 se instaló una verja que tapaba ¾ partes de la boca; en marzo de 2010 se ha retirado la parte superior de la verja y se ha realizado un seguimiento de la población de murciélagos de la cavidad durante todo el año. Se han identificado cinco especies, se han realizado censos y se ha registrado el comportamiento de los quirópteros al salir junto a la verja. El comportamiento observado y el aumento de la colonia en 2010 hasta llegar a 447 ejemplares, permiten deducir que la verja era responsable de la disminución de los efectivos. Recientemente se ha sustituido esa verja por un vallado perimetral que permite el libre acceso a la cavidad por los murciélagos. Dentro de un proyecto de puesta en valor de los murciélagos del Moncayo soriano, actualmente se han instalado cámaras de tv con luz infrarroja y la señal se recibe en un centro de interpretación.",Positive
Ocupación de cajas-refugio por murciélagos en Navarra,Scientific article,Barbastella,"En otoño de 2012 se han revisado 405 cajas-refugio para murciélagos, de 7 modelos diferentes en 11 zonas de Navarra (Norte de España). La ocupación ha oscilado entre el 0 y el 90% según zonas. En conjunto, 241 (60%) cajas mostraba signos de ocupación: 107 (26%) estaban habitadas por murciélagos y otras 134 (33%) contenían guano. Se han contabilizado 345 murciélagos ertenecientes a 10 especies: Myotis mystacinus, Myotis daubentonii, Pipistrellus pipistrellus, Pipistrellus pygmaeus, Pipistrellus kuhlii, Nyctalus leisleri, Nyctalus noctula, Nyctalus lasiopterus, Barbastella barbastellus y Plecotus auritus. Las más frecuentes y abundantes han sido P. pygmaeus, hallada en 53 cajas (247 individuos) y N. leisleri, en 24 (36 ind.). Se han encontrado especies dominantes en diferentes zonas y también preferencias de algunas especies por determinados modelos de cajas. Los modelos más utilizados han sido el 1FF y el 2F de doble pared (Schwegler). No se han encontrado diferencias significativas de ocupación en relación a la especie de árbol donde se hallan las cajas, aunque sí respecto a la estructura del bosque: la ocupación es mayor cuanto más abierta es la estructura del bosque. Además se observan diferencias significativas en relación a la orientación: el mayor número de murciélagos se encuentra en las cajas orientadas al NO, S y SO. El 30% de las cajas presentaban otros animales y/o obstáculos para la ocupación de murciélagos, principalmente exceso de guano (12%), nidos (9%) y avispas (5%), por lo que se requiere una limpieza periódica.",Positive
Pasos agrícolas inferiores de carreteras: su importancia para los murciélagos como refugio y lugar para cruzar la vía,Scientific article,Barbastella,"Con objeto de ampliar el conocimiento sobre la utilización de los pasos inferiores agrícolas por parte de los murciélagos se han desarrollado trabajos de detección acústica, captura y revisión de refugios en cinco pasos inferiores ubicados a lo largo de 8250m de un tramo de la carretera situada en el Norte de Portugal en una zona rural de uso agrícola y pastoreo. Los pasos tienen las dimensiones medias de 9 m de anchura, 4,25 m de altura y 34 m de profundidad. Los resultados de los registros acústicos y de captura de murciélagos con redes de niebla, permitieron confirmar la utilización de por lo menos 12 especies (Pipistrellus pipistrellus, P. kuhlii, P. pygmaeus, Myotis daubentonii, M. escalerai, M. myotis, Nyctalus leisleri, Plecotus austriacus, Rhinolophus ferrumequinum, R. hipposideros, R. mehelyi/R. euryale y Eptesicus serotinus/E. isabellinus). La inspección y revisión de refugios en los 5 pasos inferiores han permitido constatar la presencia de por lo menos 6 especies (M. daubentonii, M. myotis, N. leisleri, P. austriacus, Eptesicus serotinus/E. isabellinus y Pipistrellus sp.) que usaron fisuras dentro de los túneles de entre 1,2 y 1,9 cm. Para una misma altura (4,2-4,3m) y anchura de túnel (9m), los pasos más utilizados fueron los de mayor longitud. Estos resultados confirman la importancia que los pasos inferiores tienen en la conectividad y minimización de los impactos de las carreteras, así como proporcionan nuevos refugios artificiales para los murciélagos. Se incita a promover seguimientos y estudios ecológicos más detallados que profundicen en el conocimiento de la utilización de los quirópteros de estas estructuras así como sus características físicas y su entorno y en otras carreteras",Positive
Conservación de colonias reproductoras de murciélagos cavernícolas mediante refugios artificiales,Scientific article,Barbastella,"Los murciélagos requieren refugios específicos donde establecer sus colonias reproductoras. Aunque generalmente utilizan refugios naturales, en muchas ocasiones también ocupan construcciones humanas siempre que mantengan determinadas condiciones ambientales y carezcan de molestias. En Acedo (Navarra, Norte de España) tres edificios de una piscifactoría en desuso eran utilizados por alrededor de 300 murciélagos adultos de cuatro especies para criar (Rhinolophus hipposideros, Rhinolophus ferrumequinum, Myotis emarginatus y Pipistrellus pipistrellus). Los edificios fueron retirados en octubre de 2013 para restaurar el lugar. En julio de 2014 se instalaron dos casetas-refugio específicamente diseñadas para albergar las colonias de murciélagos junto con tres cajas de madera en las paredes. Las dos casetas fueron rápidamente ocupadas por los murciélagos en junio de 2015, aunque todos los M. emarginatus abandonaron el refugio en julio tras un período de canícula, y se encontraron cinco jóvenes de esta especie y otro más de R. ferrumequinum muertos. A finales de 2015, las casetas fueron acondicionadas para aislarlas del calor mediante un tejado elevado y pintura aislante. En 2016 las casetas volvieron a ser ocupadas y las colonias criaron entonces con normalidad. Además, este año el número de ejemplares fue aproximadamente el doble de los observados en censos de otros años. Las temperaturas máximas registradas en el interior de una caseta en 2016 fueron significativamente más bajas que las de 2015 y el período con temperaturas superiores a 30 oC se redujo un 69 %. Este ensayo muestra una alternativa eficaz y asequible para mantener colonias de murciélagos mediante refugios artificiales, que puede ser aplicada cuando los actuales refugios se encuentran en peligro. No obstante, es preciso tener en cuenta el posible recalentamiento de las casetas en áreas mediterráneas, por lo que se recomienda aislarlas térmicamente y colocarlas en zonas sombreadas.",Positive
"Supervivencia de guanacos (Lama guanicoe) reintroducidos con y sin período de preadapatación en el parque nacional Quebrada del Condorito, Córdoba, Argentina.",Scientific article,Mastozoología Neotropical,"El parque nacional Quebrada del Condorito se ubica en la porción superior de las Sierras Grandes del entro de Argentina. Desde su creación, el ganado doméstico fue erradicado con el fin de evitar los procesos erosivos producto del sobrepastoreo. Sin embargo, la ausencia de herbívora a gran escala produjo el avance de los pajonales sobre los pastizales, disminuyendo así la biodiversidad del parque. Por este motivo la Administración de Parques Nacionales decidió reintroducir guanacos (Lama guanicoe) en el parque, extintos en la región durante la conquista española. En el año 2007 se liberaron 113 individuos sin que estos hubiesen pasado por un período de preadaptación; en 2011-2012 se liberaron 25 individuos que sí habían pasado por un período de preadaptación. Se comparó la supervivencia entre ambas técnicas de liberación, tanto a las 4 semanas como al año después de la liberación. Los resultados mostraron que la supervivencia inicial de los guanacos liberados luego de un período de preadaptación fue significativamente mayor que aquella de los liberados sin haber pasado por un período de preadaptación. Los individuos que sobrevivieron el período crítico postliberación (4 semanas) no presentaron diferencias en la supervivencia registrada hasta el año de haber sido liberados. Por lo tanto, se recomienda aplicar un período de preadaptación a los individuos que serán liberados en el contexto de reintroducciones",Positive
"El uso de los parques urbanos con vegetación por murciélagos insectívoros en San José, Costa Rica.",Scientific article,Mastozoología Neotropical,"Se evaluó el uso de hábitat de murciélagos insectívoros en cinco parques urbanos de San José, Costa Rica. Se realizaron 3 sesiones de monitoreo acústico durante 3 noches, entre las 18:00-19:30 h. Se obtuvieron 457 registros acústicos (402/parques grandes; 44/parques pequeños; 11/controles). Los parques fueron sitios de mayor riqueza y actividad que aquellos sitios carentes de vegetación (controles). No hubo diferencia significativa en el número de especies entre parques pequeños y grandes sin embargo el uso difirió entre las especies significativamente. Los parques no sustituyen las condiciones de bosques naturales pero son importantes para mantener la diversidad remanente de murciélagos.",Positive
"Erradicación de especies invasoras: ciencia, actitud y entendimiento. El castor en Tierra del Fuego",Scientific article,Mastozoología Neotropical,"El manejo de especies invasoras presenta desafíos, que incluyen la necesidad de generar conocimiento aplicado y capacidades de gestión, así como modificar actitudes y comportamientos de la sociedad. El caso de la especie invasora castor canadiense, Castor canadensis, ejemplifica enfoques que pueden aplicarse para tratar otras especies invasoras. Repasamos la historia de manejo del castor y el cambio de enfoque que derivó en un acuerdo binacional inédito para restaurar los ecosistemas afectados por la especie mediante su erradicación, acuerdo que avanza mediante un proceso de generación de capacidades y escalamiento en la complejidad del trabajo, desde áreas piloto hacia todo el rango de distribución actual de la especie. Destacamos cómo la investigación aporta al manejo del castor, presentando detalles de la investigación en marcha en algunos ejes principales: 1) la factibilidad de erradicar en áreas piloto; 2) la estimación de tasas vitales y de dispersión y la construcción de modelos predictivos de expansión de la invasión, y 3) la determinación de criterios objetivos para declarar la erradicación del castor en sectores bajo manejo. La generación de capacidades es crucial para este complejo proceso. La construcción del capital social necesario para manejar el problema requiere de un diálogo continuo entre los diversos sectores involucrados y la construcción de agendas consensuadas. El sector científico puede asistir este proceso, pero sin imponer agendas unilaterales, sino identificando y contribuyendo a resolver las preguntas correctas y entendiendo las particularidades de los demás sectores, la cultura de las organizaciones y los tiempos para dar respuestas prácticas para lograr conservación basada en ciencia.",Positive
Abundancia poblacional y manejo del jabalí (Sus scrofa): una revisión global para abordar su gestión en la Argentina.,Scientific article,Mastozoología Neotropical,"El jabalí (Sus scrofa) es una de las especies invasoras más dañinas y cuyo manejo es prioritario a nivel undial. Sin embargo, en la Argentina la información demográfica y las experiencias de manejo son casi nulas. En este trabajo se realiza una revisión sobre las densidades y resultados de manejo del jabalí en distintos biomas y ambientes del mundo con el objeto de alertar sobre el potencial demográfico que podría alcanzar el jabalí en cada ecorregión de Argentina y plantear las opciones de manejo más adecuadas y pertinentes en cada caso. Se revisaron 162 publicaciones sobre demografía del jabalí y 30 sobre manejo, tanto en condición nativa como exótica, dentro o fuera de áreas protegidas y en islas o en continente. El valor promedio de densidad del jabalí obtenido de la revisión bibliográfica fue de 7 (rango 0.01-115; N=273 registros) ind/km2 . La mayoría (55%) de los registros se encuentran en el rango 0-3 ind/km2 mientras que el 33 y 12% restantes están en los rangos 4-13 ind/km2 y más de 13 ind/km2 , respectivamente. La especie pareciera ser más abundante en biomas tropicales y subtropicales (selvas, bosques y sabanas), en su condición exótica más que como nativa, y en islas más que en continente y dentro de áreas protegidas. La erradicación es factible únicamente en poblaciones aisladas (islas) o en aquellas recientemente instaladas, pero requiere de esquemas de control que remuevan anualmente más del 90% de los individuos. Esquemas de control basados en la combinación de métodos que remuevan anualmente el 60-70% de los individuos, resultaron eficaces. Basándose en el análisis de las densidades y de los factores de regulación del jabalí, se discute el escenario demográfico que podría alcanzarse en cada ecorregión de la Argentina y sus posibilidades de manejo para minimizar los graves impactos ambientales y socioeconómicos potenciales.",Positive
Manejo de caballos cimarrones: la situación en la Argentina.,Scientific article,Mastozoología Neotropical,"En Argentina existen numerosas poblaciones de caballos cimarrones (Equus caballus), varias de
ellas en áreas naturales protegidas. Estos grandes herbívoros son considerados especies exóticas invasoras y a
altas densidades pueden causar serio impacto sobre la biodiversidad. En otros países sus poblaciones han sido
intensamente manejadas, en nuestro país el manejo ha sido discontinuo, y solo se ha reducido temporalmente
la población del Parque Provincial Tornquist, en la provincia de Buenos Aires. El caballo es muy apreciado por
el público y existe un rechazo a su manejo. Solo métodos considerados humanos, como la captura viva y posterior
adopción o el control de fecundidad son aceptados. Es fundamental basar el manejo en el conocimiento
científico, de manera adaptativa, incluyendo la dimensión social del problema, y con mayor participación de
los decisores en los medios y redes sociales. Si bien aún desconocemos varios aspectos sobre la situación de los
caballos cimarrones en nuestro país, como la ubicación geográfica y tamaño, demografía e impacto de la mayoría
de las poblaciones. En Argentina el manejo de los caballos cimarrones debería ser estratégico y siguiendo el
principio de precaución en áreas donde el problema se considere prioritario.",Positive
"Mortalidad de mamíferos y medidas de mitigación en canales de riego del pedemonte de Yungas de la Alta Cuenca del río Bermejo, Argentina.",Scientific article,Mastozoología Neotropical,"Recopilamos información sobre mortalidad de mamíferos medianos y grandes en canales de riego en Yungas de Argentina y evaluamos el rol de escaleras de escape como medida de mitigación. Implementamos registros sistemáticos de caídas y muertes en los anales y utilizamos cámaras trampa para monitorear el uso de las escaleras. Documentamos la caída de 19 especímenes de cinco especies y registramos ocho individuos muertos entre 2013 y 2015. La mayoría de las caídas y muertes correspondieron a Mazama  ouazoubira. Las cámaras registraron 16 especies en las escaleras (34% de los registros correspondientes a Tapirus terrestris), que parecen tener un efecto positivo, disminuyendo la mortalidad de individuos.",Positive
