text,word_frequency,prediction
tiempo rendimiento costo aserrado algarrobo blanco prosopis alba santiago estero argentino madera algarrobo blanco prosopis albar codiciado fabricante muebl abertura debido cualidad excelente veteado nobleza permitir procesamiento necesidad secado santiago estero haber encontrar estudio rendimiento productividad costo aserrado madera general algarrobo particular razón virtud importancia revestir tema objetivo trabajo ser evaluar tiempo trabajo rendimiento productividad aserrado diez aserradero pequeño escala provincio santiago estero estimar costo aserrado tal efecto medir troza algarrobo blanco volumen corteza generar tabla diferente dimensión volumen aserrado indicar rendimiento madera aserrado corteza tiempo promedio total proceso segundo productividad establecer pie² costo directo aserrado ascender pie²,"{'aserrado': 7, 'rendimiento': 4, 'costo': 4, 'algarrobo': 4, 'tiempo': 3, 'blanco': 3, 'santiago': 3, 'estero': 3, 'madera': 3, 'productividad': 3, 'prosopis': 2, 'trabajo': 2, 'volumen': 2, 'corteza': 2, 'pie²': 2}",fp
supervivencia crecimiento especie distinto estrategia vido plantación área quemado quemado estudio caso dos especie leñosa chaco serrano argentina bosque afectado fuego experimentar creciente demanda reforestación fin reducir erosión post fuego acelerar recuperación bajo hipótesis acacia caven especie dominante matorral disturbado tener mayor capacidad tolerar condición post fuego lithraea molleoides especie dominante bosques disturbado evaluar desempeño plantín plantado área quemado quemado tres sitio sierra córdoba dos año después plantación supervivencia variar según tratamiento diferencia significativo área quemado quemado especie diferencia sitio plantación crecimiento ser variable mientras alguno tratamiento plantín decreceír promedio altura crecer duplicar altura inicial diferencia significativo área quemado quemado crecimiento molleoides ser mayor cavir variar sitio plantación ambos especie rechazar hipótesis planteado ambos especie tener desempeño similar sitio quemado quemado conclusión fin restauración sitio quemado recomendable forestar especie dominante bosques disturbado especie dominante matorral disturbado encontrar distribuido ampliamente región desempeño ser mejor dar mayor variación encontrar sitio plantación destacamo importancia estudiar localmente desempeño especie usar restauración especial bosque gran heterogeneidad ambiental chaco serrano,"{'quemado': 11, 'especie': 10, 'sitio': 6, 'plantación': 5, 'área': 4, 'dominante': 4, 'disturbado': 4, 'desempeño': 4, 'crecimiento': 3, 'fuego': 3, 'mayor': 3, 'diferencia': 3, 'ser': 3, 'supervivencia': 2, 'dos': 2}",fp
propuesta declarar monumento natural especie faún silvestre santiago estero aplicar índice sumin sumar índice identificar especie faún silvestre santiago estero tener mayor riesgo extinción analizar partir dato bibliográfico especie presentar alguno grado amenaza identificar especie mamífero av proponer ser declarar monumento natural provincia contribuir reforzar instrumento legal protección especie,"{'especie': 5, 'declarar': 2, 'monumento': 2, 'natural': 2, 'faún': 2, 'silvestre': 2, 'santiago': 2, 'estero': 2, 'índice': 2, 'identificar': 2, 'propuesta': 1, 'aplicar': 1, 'sumin': 1, 'sumar': 1, 'tener': 1}",fp
ciclo vida lombriz tierra apto vermicompostaje después casi tres década investigación campo vermicompostaje aplicación alternativa metodológico tratamiento residuo orgánico incrementado forma considerable nuevo conocimiento ciclo vida condición óptimo crecimiento especie utilizado así inclusión nuevo especie categoría ecológico diferente habitual capaz procesar distinto tipo residuo haber ampliar marco actuación vermicompostaje tratamiento gestión residuo mayor parte nuevo especie proceder zona tropical desarrollo vermicompostaje prometedor considerar problema actual tratamiento gestión residuo ausencio financiación además uso especie local endémico parecer ser buen alternativa bien adaptar condición local revisión pretender recopilar actualizar conocimiento ciclo vida limitación ambiental lombriz tierra apto proceso vermicompostaje,"{'vermicompostaje': 5, 'residuo': 4, 'especie': 4, 'ciclo': 3, 'vida': 3, 'tratamiento': 3, 'nuevo': 3, 'lombriz': 2, 'tierra': 2, 'apto': 2, 'alternativa': 2, 'conocimiento': 2, 'condición': 2, 'gestión': 2, 'local': 2}",fp
biometría testicular característica seminal felino neotropical carnivorar felidae sometido cateterismo uretral resumen introducción administración fármaco agonista alfa adrenérgicos asociado técnica cateterismo uretral método desarrollo reciente recolección seminal felino ofrecer ventaja recolecta electroeyaculación recolectar epididimario técnico probado panthera oncar felino pequeño porte objetivo realizar recolección seminal felino neotropical utilizar técnico cateterización uretral determinar parámetro testicular seminal muestra recolectada técnico cateterización uretral metodología estudio utilizar individuo especie panthera onca puma yagouaroundi yleopardus wedii localizado parque zoobotánico getúlio vargas salvador bahia brasil semen ser recolectar medio cateterismo uretral utilizar farmáco clorhidrato medetomidina ketamina desarrollo procedimiento realizar recolecto dato biométrico corporal testicular así ultrasonografía testículo mediante microscopia óptico muestra seminal determinar vigor espermático motilidad total motilidad progresivo integridad estructural funcional membrana plasmático morfología espermático muestra someter proceso congelación descongelación utilizar tres diferente crioprotector muestra descongelada ser evaluar microscopía convencional análisis seminal computarizado citometrío flujo resultado estudio ser realizar éxito técnico recolección seminal tres especie ser primero estudio informar parámetro seminal dep yagouaroundiy primero reportar recolección seminal uretral wiedii dato presentado describir forma pionero morfocinético espermático especie incluido haber diferencia calidad seminal evaluar grupo crioprotector diferencia integridad membrana pré post congelamento ser posible solamente comparación técnico recolección seminal resultado calidad seminal obtenido muestra gato doméstico conclusión cateterización uretral asociado fármaco alfa adrenérgico técnica eficiente recolección seminal felino neotropical establecimiento potencial asociación característica físico animal calidad seminal información sumar importancia aplicabilidad elección reproductor programa reproducción asistido,"{'seminal': 14, 'uretral': 7, 'recolección': 6, 'felino': 5, 'técnico': 5, 'muestra': 5, 'ser': 5, 'utilizar': 4, 'testicular': 3, 'neotropical': 3, 'cateterismo': 3, 'realizar': 3, 'cateterización': 3, 'estudio': 3, 'especie': 3}",fp
sustentable aprovechamiento tierro hojo bosques encino investigar esquema actual realizar aprovechamiento tierro hoja sustentable fin evaluó producción hojarasco bosque encino aprovechamiento tierra hoja bajo tres condición aprovechamiento aprovechamiento último dos año aprovechamiento dos año estimar cantidad anual nutrient regresar piso forestal mediante caída hojarasco emplear trampa hojarasco área producción hojarasco ser mayor año respectivamente comparación año cantidad nutrient regresar piso forestal mayor sitio bajo aprovechamiento sitio aprovechamiento resultado sugerir aprovechamiento tierra hoja estimular producción hojarasco embargo aun poder haber proceso estimulación producción deber tener cuidado tiempo dejar descansar área bajo aprovechamiento acuerdo resultado estudio requerir año descanso aprovechar forma sustentable mismo sitio decir tiempo menos dos vez medio mayor actualmente esquema sustentable implicar tiempo dos fecha aprovechamiento igual tiempo requerido formar capa orgánico retirado,"{'aprovechamiento': 11, 'hojarasco': 5, 'año': 5, 'sustentable': 4, 'producción': 4, 'dos': 4, 'tiempo': 4, 'hoja': 3, 'bajo': 3, 'mayor': 3, 'sitio': 3, 'tierro': 2, 'encino': 2, 'esquema': 2, 'tierra': 2}",fp
sustrato base aserrín crudo fertilización calidad planto pinus cooperi blanco vivero asegurar éxito programa reforestación requerir uso planto alto calidad empleo sustratos alternativo amplio disponibilidad bajo costo aserrín corteza compostado poder ser opción viable producción contexto evaluar cuatro sustrato aserrín pino crudo corteza pino compostado turba musgo combinación dos fertilizant liberación controlado multicote ® osmocotar plus ® crecimiento calidad pinus cooperi producido vivero sembrar realizar contenedor poliestireno cavidades cavidad sustrato ser turba corteza turbo corteza aserrín turba corteza aserrín turba corteza aserrín multicote ® osmocotar plus ® aplicar diseño experimental completamente azar arreglo factorial nueve mes edad planta mejor resultado diámetro biomasa total índice calidad dickson obtener sustrato turbo corteza multicote ® embargo sustrato turba corteza aserrín combinación multicote ® tener valor aceptable además reducir costo producción debido sustrato fertilizante,"{'corteza': 8, 'aserrín': 7, 'sustrato': 6, '®': 6, 'turba': 5, 'calidad': 4, 'multicote': 4, 'crudo': 2, 'planto': 2, 'pinus': 2, 'cooperi': 2, 'vivero': 2, 'costo': 2, 'compostado': 2, 'ser': 2}",fp
rapto cría hembra parturiento cuidado compartido lobo fino sudamericano arctocephalus australis nota reportar rapto adopción cría parte hembra lobo fino sudamericano arctocephalus australis parto posterior rechazo propio cachorro cría ser raptar encontrar junto madre intentar recuperar éxito mes siguiente observar cría amamantar madre madre adoptiir episodio aportar información alto sensibilidad hembra especie parto corto período selectividad maternal poder establecer incluso parto,"{'cría': 4, 'hembra': 3, 'parto': 3, 'madre': 3, 'rapto': 2, 'lobo': 2, 'fino': 2, 'sudamericano': 2, 'arctocephalus': 2, 'australis': 2, 'parturiento': 1, 'cuidado': 1, 'compartido': 1, 'nota': 1, 'reportar': 1}",fp
estimación emisión gei trayectoria grande incendio forestal cataluño españa escala global incendio forestal ser fuente emisión significativo gas partícula atmosferar emisión llegar afectar grande extensión poder transportar distancia escala continental trabajo haber estimar emisión gas efecto invernadero gei procedente grande incendio forestal ocurrido último año cataluña españa región mediterráneo afectado incidencia fuego origen antrópico estimación basar caracterización cuantificación biomasa total combustible forestal preexistent área quemar cuantificación pérdida debido combustión según severidad incendio aplicación factor emisión biomasa consumido resultado obtenido indicar grande incendio último década consumir porcentaje variable biomasa total disponible zona incendiado emisión total carbono equivalente incendio determinar trayectoria penacho humo concentración alcanzado utilizar modelo hybrid single particle lagrangian integrated trajectory penacho humo incendio estudiado desplazar grande distancia generalmente bajo situación anticiclónico afectar mediterráneo norte áfrica,"{'incendio': 7, 'emisión': 6, 'grande': 5, 'forestal': 4, 'biomasa': 3, 'total': 3, 'estimación': 2, 'gei': 2, 'trayectoria': 2, 'españa': 2, 'escala': 2, 'gas': 2, 'afectar': 2, 'distancia': 2, 'último': 2}",fp
elección precopulatorio conducta copulatorio cerdo yorkshire yorklandrace landracir descrito cerdo feral macho scrofa ser usualmente solitario época apareamiento competir acceso hembra poder sesgar elección copular alguno conocer elección precopulatorio femenino finalidad determinar condición cautiverio ocurrir elección aparear hembra multípara yorklandracir tres macho experiencia perteneciente tres raza yorkshire yorklandrace landrace registrar conducta precopulatoria copulatoria ambos sexo registrar interacción hembra fase precopulatorio macho desplegar mayor frecuencia mordisco recibir hembra mas atención término tiempo macho cambio macho desplegar mayor frecuencia conducta castañeteo diente vocalización trompeo macho desplegar mayor frecuencia olfateo vagina cópula macho desplegar mayor frecuencia contacto naso vaginal macho vocalización cuatro hembra después cópula ser montar hembra estro primero expulsar tapón vaginal macho resultado demostrar fuerte competencia conductual tres macho sesgo elección precopulatorio femenino hacia macho heterocigotico posible explicación hecho mordisco secreción salival prepucial macho ser percibir hembra perteneciente macho buen calidad genético expulsión tapón vaginal hembra montada hembra posiblemente indicar forma competencia intrasexual reducir probabilidad fertilización hembra recién copulada,"{'macho': 13, 'hembra': 10, 'elección': 5, 'precopulatorio': 4, 'desplegar': 4, 'mayor': 4, 'frecuencia': 4, 'conducta': 3, 'ser': 3, 'tres': 3, 'vaginal': 3, 'cerdo': 2, 'yorkshire': 2, 'yorklandrace': 2, 'femenino': 2}",fp
