text,word_frequency,prediction
restauración bosque nativo área invadido tamarisco tamarix ramossisima sur provincia córdoba argentino hombre producir impacto acumulativo ecosistema ser especie exótico invasor relevante fin restauración ecológico reparar ecosistema ser capaz persistir ambiente futuro trabajo tener jetivo diseñar implementar técnico manejo recuperación ambient invadido tamarisco tamarix ramossisima sur córdoba argentino realizar ensayo restauración consistente control tamarisco tala aplicación herbicida selección plan tación especie nativo evaluación banco semilla germinable bosque tamarisco bosque nativo referencia delimitar doce parcela aplicar cuatro tratamiento testigo control tamarisco control plantación especie nativo control plantación especie nativo trasplante banco semillas monitoreó mes variable rebrote tamarisco riqueza comunidad cobertura especie nativo emergencia supervivencio plántula banco semilla individuo marisco rebrotar especie seleccionado plantado ser lycium boerhaviifolium vachellia caven schinus fasciculatus celti ehrem bergiana atriplex undulata banco semillas aportar nuevo individuo especie nativo destacar importancia revegetación especie leñosa nativo luego control tamarisco estrategia incrementar biodiversidad,"{'nativo': 8, 'especie': 8, 'tamarisco': 7, 'control': 5, 'banco': 4, 'restauración': 3, 'bosque': 3, 'ser': 3, 'invadido': 2, 'tamarix': 2, 'ramossisima': 2, 'sur': 2, 'córdoba': 2, 'argentino': 2, 'ecosistema': 2}",tp
supervivencia guanaco lamar guanicoe reintroducido período preadapatación parque nacional quebrado condorito córdobo argentino parque nacional quebrado condorito ubicar porción superior sierra grande centro argentino creación ganado doméstico ser erradicar fin evitar proceso erosivo producto sobrepastoreo embargo ausencio herbívoro gran escala producir avance pajonal pastizal disminuir así biodiversidad parque motivo administración parques nacional decidir reintroducir guanaco lama guanicoe parque extinto región conquista español año liberar individuo haber pasar período preadaptación liberar individuo haber pasar período preadaptación comparar supervivencia ambos técnica liberación semana año después liberación resultado mostrar supervivencia inicial guanaco liberado luego período preadaptación ser significativamente mayor aquel liberado haber pasar período preadaptación individuo sobrevivir período crítico postliberación semana presentar diferencia supervivencia registrado año haber ser liberar recomendar aplicar período preadaptación individuo ser liberar contexto reintroducción,"{'período': 7, 'preadaptación': 5, 'supervivencia': 4, 'parque': 4, 'ser': 4, 'liberar': 4, 'individuo': 4, 'haber': 4, 'guanaco': 3, 'nacional': 3, 'año': 3, 'pasar': 3, 'guanicoe': 2, 'quebrado': 2, 'condorito': 2}",tp
mortalidad mamífero medida mitigación canal riego pedemonte yungas alto cuenca río bermejo argentino recopilar información mortalidad mamífero mediano grande canal riego yungas argentino evaluar rol escalera escape medida mitigación implementar registro sistemático caído muerte canal utilizamos cámara trampa monitorear uso escalera documentar caída especímén cinco especie registrar ocho individuo muerto mayoría caída muerte corresponder mazama gouazoubira cámara registrar especie escalera registro correspondiente tapirus terrestris parecer tener efecto positivo disminuir mortalidad individuo,"{'mortalidad': 3, 'canal': 3, 'escalera': 3, 'mamífero': 2, 'medida': 2, 'mitigación': 2, 'riego': 2, 'yungas': 2, 'argentino': 2, 'registro': 2, 'muerte': 2, 'cámara': 2, 'caída': 2, 'especie': 2, 'registrar': 2}",tp
recuperación colonio miniopteru schreibersii cueva cueva ágreda sorio cueva cueva ágreda sorio habitar colonia murciélago cuevo década reducir primero año presente siglo ejemplar instalar verja tapar parte boca marzo retirado parte superior verja realizado seguimiento población murciélago cavidad año haber identificar cinco especie haber realizar censo registrado comportamiento quiróptero salir junto verja comportamiento observado aumento colonio llegar ejemplar permitir deducir verja ser responsable disminución efectivo recientemente sustituir verja vallado perimetral permitir libre acceso cavidad murciélago dentro proyecto puesto valor murciélago moncayo soriano actualmente haber instalar cámara luz infrarrojo señal recibir centro interpretación,"{'verja': 5, 'cueva': 4, 'murciélago': 4, 'haber': 3, 'colonio': 2, 'ágreda': 2, 'sorio': 2, 'año': 2, 'ejemplar': 2, 'instalar': 2, 'parte': 2, 'cavidad': 2, 'comportamiento': 2, 'permitir': 2, 'recuperación': 1}",tp
pez indicador restauración área manglar costa norte yucatán manglar ser reconocer servicio ecológico proveer especie pez estudio previo restauración ecológico haber pasar alto función generalmente enfocar restauración cobertura vegetal objetivo ser determinar función manglar zona refugio alimentación pez evaluar composición abundancio sitio diferente tiempo restauración realizar muestreo sitio manglar restauración yucatán — celestún celestún yucalpetén progreso — registrar especie pez celestún ser sitio mayor riqueza diversidad gambusia yucatana poecilia velifera mugil cephalus anchoa mitchilli abundante progreso registrar diversidad bajo alto dominancia yucatán sitio mayor tiempo restauración presentar organismo juvenil detritófago zoobentófago resultado demostrar función manglar zona crianzo alimentación especie marino intervenir transferencio energía nutrient sistema adyacente demostrar gran dominancia yucatana especie endémico característico ecosistema manglar yucatán,"{'restauración': 6, 'manglar': 6, 'pez': 4, 'yucatán': 4, 'especie': 4, 'sitio': 4, 'ser': 3, 'función': 3, 'celestún': 3, 'ecológico': 2, 'alto': 2, 'zona': 2, 'alimentación': 2, 'tiempo': 2, '—': 2}",tp
efecto restauración ecológico post incendio diversidad arbóreo parque ecológico chipinque méxico bosque templado parque ecológico chipinque pech ser gran importancia debido servicio ambiental provear área metropolitano monterrey año suscitar incendio forestal afectar tercero parte pech área post incendio realizar programa restauración ecológico año año después realizar análisis comparativo diversidad elemento arbóreo área restaurado regenerada naturalmente objetivo ser determinar existir diferencia estadístico diversidad arbóreo número densidad especie estructura vertical horizontal dos área mediante curva especie superficie determinar establecimiento cuatro unidad muestreo cada área registrar ocho familia género especie género mayor presencia ambos área ser quercu área restaurado presentar segundo especie importante pinus pseudostrobus acuerdo análisis vertical estrato arbóreo determinar ambos área ser multicohortal referente diversidad área evaluada presentar similitud medio alto área restaurado regenerado presentar diferencia estadístico significativo diversidad abundancio abundancio dominancia investigación generar información cuantitativo indicar práctica silvícola empleado restauración ecológico incrementar densidad pseudostrobus alterar diversidad abundancio dominancia elemento arbóreo,"{'área': 10, 'diversidad': 6, 'ecológico': 5, 'arbóreo': 5, 'ser': 4, 'especie': 4, 'restauración': 3, 'incendio': 3, 'año': 3, 'restaurado': 3, 'determinar': 3, 'presentar': 3, 'abundancio': 3, 'post': 2, 'parque': 2}",tp
estimar abundancia paloma columbo livio var ciudad barcelona valoración efectividad control eliminación individuo método comúnmente utilizado control población paloma urbano captura eliminación selectivo individuo método agencia salud público barcelona aspb eliminar total paloma pre sente trabajar compara abundancia paloma ciudad barcelona estimado valor obtenido nuevo estimar realizado total paloma mientras centro ciudad densidad paloma aumentar año densidad anillo rodear centro aumentar forma significativo conducir aumento global población urbano número denuncia recibido distrito molestia oca sionada paloma correlacionar abundancia esfuerzo captura distrito realizado aspb correlacionar abundancia paloma número denuncia recibido indicar actuación realizado seguir general protocolo técnico densidad paloma distrito correlacionó signifi cativamente densidad habitante cada distrito número total habitante dato presentado demostrar bajo efectividad medida control paloma eliminación individuo abogar mayor énfasis método control centrado factor limitant especie concreto oferta alimentario lugar nidificación,"{'paloma': 10, 'abundancia': 4, 'control': 4, 'densidad': 4, 'distrito': 4, 'ciudad': 3, 'barcelona': 3, 'eliminación': 3, 'individuo': 3, 'método': 3, 'total': 3, 'realizado': 3, 'número': 3, 'estimar': 2, 'efectividad': 2}",tp
reintroducción especie reforzamiento población conservación ave españa trabajo presentar criterio normalmente emplear vara evaluar iniciativa reintroducción reforzamiento población fase constar proyecto método aplicar suelta ejemplar comentar ejemplo caso concreto quebrantahueso alpes exponer alguno evaluación global éxito fracaso elevado número reintroducción mundo finalmente pasar revista proyecto llevar cabo actualmente españa,"{'reintroducción': 3, 'reforzamiento': 2, 'población': 2, 'españa': 2, 'proyecto': 2, 'especie': 1, 'conservación': 1, 'ave': 1, 'trabajo': 1, 'presentar': 1, 'criterio': 1, 'normalmente': 1, 'emplear': 1, 'vara': 1, 'evaluar': 1}",tp
uso parque urbano vegetación murciélago insectívoro san josé costa rico evaluó uso hábitat murciélago insectívoro cinco parque urbano san josé costa rico realizar sesión monitoreo acústico noches obtener registro acústico parque grande parque pequeño control parque ser sitio mayor riqueza actividad aquel sitio carentes vegetación control haber diferencia significativo número especie parque pequeño grande embargo uso diferir especie significativamente parque sustituyar condición bosqu natural ser importante mantener diversidad remanente murciélago,"{'parque': 7, 'uso': 3, 'murciélago': 3, 'urbano': 2, 'vegetación': 2, 'insectívoro': 2, 'san': 2, 'josé': 2, 'costa': 2, 'rico': 2, 'acústico': 2, 'grande': 2, 'pequeño': 2, 'control': 2, 'ser': 2}",tp
tasa supervivencia gato montés felis silvestris criado encautividad reintroducido naturalezaresultado preliminar analizar supervivencia causa mortalidad gato montés reintroducido radioseguido macizo ports tortosa beseit tarragona año ejemplar agrupar según siguiente factor experimental condición cauti vidad suave duro condición liberación suave duro liberación hembra cachorro sólo hembra sexo macho hembra cachorro mediante método kaplan meier estudiar efecto condición cautividad técnico liberación presencia cachorro liberación sexo tener supervivencia ejemplar reintroducido supervivencia comparar diferente grupo mediante log rank test describir causa mortalidad variación diario peso ejemplar introducido detectar diferencia significativo supervivencia diferente grupo según condición cautividad liberación según sexo cambio hembra liberado cachorro mostrar supervivencia mayor hembra liberado cachorro considerar ejemplar conjuntamente tasa supervivencia día ser mediana tiempo supervivencia día causa mortalidad importante ser origen humano atropello muerto granja así mismo mayoría ejemplar muerto causa natural presentar perdido peso acusado general supervivencia ejemplar liberado bajo ilustrar difi cultad reintroducir naturaleza carnívoro criado cautividad,"{'supervivencia': 9, 'ejemplar': 6, 'liberación': 5, 'hembra': 5, 'cachorro': 5, 'causa': 4, 'condición': 4, 'reintroducido': 3, 'mortalidad': 3, 'según': 3, 'sexo': 3, 'cautividad': 3, 'liberado': 3, 'tasa': 2, 'gato': 2}",tp
