,Classifier,Feature_extraction,Weighting,CV,Text_length,F1_tr_cv,F1_tr,F1_ts,Precision_tr_cv,Precision_tr,Precision_ts,Recall_tr_cv,Recall_tr,Recall_ts,Solver
0,"LogisticRegression(class_weight={0: 0.506253782529756, 1: 40.475806451612904},
                   random_state=42, solver='liblinear')",distiluse-base-multilingual-cased-v1,Weighted,2,Title_Abstract,0.169,0.275,0.211,0.102,0.16,0.122,0.49,1.0,0.769,liblinear
1,"LogisticRegression(class_weight={0: 0.506253782529756, 1: 40.475806451612904},
                   random_state=42)",distiluse-base-multilingual-cased-v1,Weighted,2,Title_Abstract,0.172,0.278,0.208,0.104,0.162,0.12,0.49,1.0,0.769,lbfgs
2,"SVC(class_weight={0: 0.506253782529756, 1: 40.475806451612904}, kernel='linear',
    probability=True)",distiluse-base-multilingual-cased-v1,Weighted,2,Title_Abstract,0.214,0.403,0.281,0.165,0.253,0.176,0.306,1.0,0.692,lbfgs
3,"SVC(class_weight={0: 0.506253782529756, 1: 40.475806451612904}, kernel='linear',
    probability=True)",distiluse-base-multilingual-cased-v1,Weighted,2,Title_Abstract,0.214,0.403,0.281,0.165,0.253,0.176,0.306,1.0,0.692,liblinear
4,"LogisticRegression(class_weight={0: 0.506253782529756, 1: 40.475806451612904},
                   random_state=42, solver='liblinear')",paraphrase-multilingual-mpnet-base-v2,Weighted,2,Title_Abstract,0.214,0.354,0.24,0.134,0.215,0.145,0.531,1.0,0.692,liblinear
5,"LogisticRegression(class_weight={0: 0.506253782529756, 1: 40.475806451612904},
                   random_state=42)",paraphrase-multilingual-mpnet-base-v2,Weighted,2,Title_Abstract,0.209,0.354,0.254,0.132,0.215,0.155,0.51,1.0,0.692,lbfgs
6,"SVC(class_weight={0: 0.506253782529756, 1: 40.475806451612904}, kernel='linear',
    probability=True)",paraphrase-multilingual-mpnet-base-v2,Weighted,2,Title_Abstract,0.242,0.59,0.2,0.2,0.419,0.148,0.306,1.0,0.308,lbfgs
7,"SVC(class_weight={0: 0.506253782529756, 1: 40.475806451612904}, kernel='linear',
    probability=True)",paraphrase-multilingual-mpnet-base-v2,Weighted,2,Title_Abstract,0.242,0.59,0.2,0.2,0.419,0.148,0.306,1.0,0.308,liblinear
8,"MLPClassifier(activation='logistic', batch_size=16, hidden_layer_sizes=(),
              random_state=42)",distiluse-base-multilingual-cased-v1,,2,Title_Abstract,0.038,0.367,0.267,0.25,1.0,1.0,0.02,0.224,0.154,liblinear
9,"MLPClassifier(activation='logistic', batch_size=16, hidden_layer_sizes=(),
              random_state=42)",distiluse-base-multilingual-cased-v1,,2,Title_Abstract,0.038,0.367,0.267,0.25,1.0,1.0,0.02,0.224,0.154,lbfgs
10,"MLPClassifier(activation='logistic', batch_size=16, hidden_layer_sizes=(),
              random_state=42)",paraphrase-multilingual-mpnet-base-v2,,2,Title_Abstract,0.154,0.529,0.118,0.312,0.947,0.25,0.102,0.367,0.077,liblinear
11,"MLPClassifier(activation='logistic', batch_size=16, hidden_layer_sizes=(),
              random_state=42)",paraphrase-multilingual-mpnet-base-v2,,2,Title_Abstract,0.154,0.529,0.118,0.312,0.947,0.25,0.102,0.367,0.077,lbfgs
12,SVC(kernel='linear'),distiluse-base-multilingual-cased-v1,,2,Title_Abstract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lbfgs
13,LogisticRegression(random_state=42),distiluse-base-multilingual-cased-v1,,2,Title_Abstract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lbfgs
14,"LogisticRegression(random_state=42, solver='liblinear')",distiluse-base-multilingual-cased-v1,,2,Title_Abstract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,liblinear
15,SVC(kernel='linear'),paraphrase-multilingual-mpnet-base-v2,,2,Title_Abstract,0.04,0.151,0.0,1.0,1.0,0.0,0.02,0.082,0.0,lbfgs
16,SVC(kernel='linear'),distiluse-base-multilingual-cased-v1,,2,Title_Abstract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,liblinear
17,SVC(kernel='linear'),paraphrase-multilingual-mpnet-base-v2,,2,Title_Abstract,0.04,0.151,0.0,1.0,1.0,0.0,0.02,0.082,0.0,liblinear
18,"LogisticRegression(random_state=42, solver='liblinear')",paraphrase-multilingual-mpnet-base-v2,,2,Title_Abstract,0.04,0.04,0.0,1.0,1.0,0.0,0.02,0.02,0.0,liblinear
19,LogisticRegression(random_state=42),paraphrase-multilingual-mpnet-base-v2,,2,Title_Abstract,0.04,0.078,0.0,1.0,1.0,0.0,0.02,0.041,0.0,lbfgs
