,Classifier,Feature_extraction,Weighting,CV,Text_length,F1_tr_cv,F1_tr,F1_ts,Precision_tr_cv,Precision_tr,Precision_ts,Recall_tr_cv,Recall_tr,Recall_ts
0,"MLPClassifier(activation='logistic', batch_size=16, hidden_layer_sizes=(),
              random_state=42)",TfidfVectorizer(),"RandomUnderSampler(random_state=42, sampling_strategy=1)",2,Title_Abstract,0.056,0.075,0.059,0.029,0.039,0.031,0.918,1.0,0.769
1,"MLPClassifier(activation='logistic', batch_size=16, hidden_layer_sizes=(),
              random_state=42)",TfidfVectorizer(),"RandomUnderSampler(random_state=42, sampling_strategy=1)",2,Title_Abstract_Main,0.056,0.075,0.059,0.029,0.039,0.031,0.918,1.0,0.769
2,"MLPClassifier(activation='logistic', batch_size=16, hidden_layer_sizes=(),
              random_state=42)",CountVectorizer(),"RandomUnderSampler(random_state=42, sampling_strategy=1)",2,Title_Abstract,0.065,0.091,0.072,0.034,0.048,0.038,0.878,1.0,0.769
3,"MLPClassifier(activation='logistic', batch_size=16, hidden_layer_sizes=(),
              random_state=42)",CountVectorizer(),"RandomUnderSampler(random_state=42, sampling_strategy=1)",2,Title_Abstract_Main,0.065,0.091,0.072,0.034,0.048,0.038,0.878,1.0,0.769
4,"LogisticRegression(random_state=42, solver='liblinear')",TfidfVectorizer(),"RandomUnderSampler(random_state=42, sampling_strategy=1)",2,Title_Abstract,0.075,0.112,0.076,0.039,0.059,0.04,0.857,1.0,0.692
5,SVC(kernel='linear'),TfidfVectorizer(),"RandomUnderSampler(random_state=42, sampling_strategy=1)",2,Title_Abstract_Main,0.076,0.118,0.079,0.04,0.062,0.042,0.857,1.0,0.692
6,"LogisticRegression(random_state=42, solver='liblinear')",TfidfVectorizer(),"RandomUnderSampler(random_state=42, sampling_strategy=1)",2,Title_Abstract_Main,0.075,0.112,0.076,0.039,0.059,0.04,0.857,1.0,0.692
7,SVC(kernel='linear'),TfidfVectorizer(),"RandomUnderSampler(random_state=42, sampling_strategy=1)",2,Title_Abstract,0.076,0.118,0.079,0.04,0.062,0.042,0.857,1.0,0.692
8,"LogisticRegression(random_state=42, solver='liblinear')",CountVectorizer(),"RandomUnderSampler(random_state=42, sampling_strategy=1)",2,Title_Abstract,0.057,0.094,0.068,0.03,0.049,0.036,0.735,1.0,0.692
9,"LogisticRegression(random_state=42, solver='liblinear')",CountVectorizer(),"RandomUnderSampler(random_state=42, sampling_strategy=1)",2,Title_Abstract_Main,0.057,0.094,0.068,0.03,0.049,0.036,0.735,1.0,0.692
10,SVC(kernel='linear'),CountVectorizer(),"RandomUnderSampler(random_state=42, sampling_strategy=1)",2,Title_Abstract,0.072,0.121,0.069,0.038,0.065,0.037,0.673,1.0,0.538
11,SVC(kernel='linear'),CountVectorizer(),"RandomUnderSampler(random_state=42, sampling_strategy=1)",2,Title_Abstract_Main,0.072,0.121,0.069,0.038,0.065,0.037,0.673,1.0,0.538
12,"LogisticRegression(class_weight={0: 0.506253782529756, 1: 40.475806451612904},
                   random_state=42, solver='liblinear')",paraphrase-multilingual-mpnet-base-v2,Weighted,2,Title_Abstract,0.214,0.354,0.24,0.134,0.215,0.145,0.531,1.0,0.692
13,"LogisticRegression(class_weight={0: 0.506253782529756, 1: 40.475806451612904},
                   random_state=42, solver='liblinear')",paraphrase-multilingual-mpnet-base-v2,Weighted,2,Title_Abstract_Main,0.216,0.346,0.231,0.135,0.209,0.138,0.531,1.0,0.692
14,"LogisticRegression(class_weight={0: 0.506253782529756, 1: 40.475806451612904},
                   random_state=42, solver='liblinear')",distiluse-base-multilingual-cased-v1,Weighted,2,Title_Abstract_Main,0.17,0.281,0.208,0.103,0.163,0.12,0.49,1.0,0.769
15,"LogisticRegression(class_weight={0: 0.506253782529756, 1: 40.475806451612904},
                   random_state=42, solver='liblinear')",distiluse-base-multilingual-cased-v1,Weighted,2,Title_Abstract,0.169,0.275,0.211,0.102,0.16,0.122,0.49,1.0,0.769
16,"MLPClassifier(activation='logistic', batch_size=16, hidden_layer_sizes=(),
              random_state=42)",paraphrase-multilingual-mpnet-base-v2,"RandomOverSampler(random_state=42, sampling_strategy='not majority')",2,Title_Abstract,0.235,0.737,0.235,0.184,0.583,0.19,0.327,1.0,0.308
17,"MLPClassifier(activation='logistic', batch_size=16, hidden_layer_sizes=(),
              random_state=42)",paraphrase-multilingual-mpnet-base-v2,"RandomOverSampler(random_state=42, sampling_strategy='not majority')",2,Title_Abstract_Main,0.235,0.737,0.235,0.184,0.583,0.19,0.327,1.0,0.308
18,"MLPClassifier(activation='logistic', batch_size=16, hidden_layer_sizes=(),
              random_state=42)",distiluse-base-multilingual-cased-v1,"RandomOverSampler(random_state=42, sampling_strategy='not majority')",2,Title_Abstract,0.25,0.57,0.255,0.203,0.398,0.167,0.327,1.0,0.538
19,"MLPClassifier(activation='logistic', batch_size=16, hidden_layer_sizes=(),
              random_state=42)",distiluse-base-multilingual-cased-v1,"RandomOverSampler(random_state=42, sampling_strategy='not majority')",2,Title_Abstract,0.25,0.57,0.255,0.203,0.398,0.167,0.327,1.0,0.538
20,"SVC(class_weight={0: 0.506253782529756, 1: 40.475806451612904}, kernel='linear',
    probability=True)",paraphrase-multilingual-mpnet-base-v2,Weighted,2,Title_Abstract,0.242,0.59,0.2,0.2,0.419,0.148,0.306,1.0,0.308
21,"SVC(class_weight={0: 0.506253782529756, 1: 40.475806451612904}, kernel='linear',
    probability=True)",distiluse-base-multilingual-cased-v1,Weighted,2,Title_Abstract,0.214,0.403,0.281,0.165,0.253,0.176,0.306,1.0,0.692
