,len_before_processing,len_after_processing
0,28116,16257
1,22373,14508
2,37701,24305
3,28433,18699
4,16112,10012
5,31029,20148
6,19420,12588
7,22323,15221
8,11327,7468
9,16365,11088
10,15661,10657
11,23753,16464
12,23522,16100
13,17254,10637
14,27330,17632
15,14205,9444
16,27265,18979
17,13858,8897
18,22787,15452
19,34915,21765
20,16041,10269
21,30736,18701
22,30834,20682
23,12052,7926
24,27116,18229
25,21220,12862
26,15857,10710
27,25760,17751
28,19060,11988
29,28916,18866
30,24651,16242
31,25252,16248
32,14738,9942
33,9714,6403
34,29153,18841
35,20603,12878
36,18263,12066
37,24911,15600
38,23769,15728
39,40094,27907
40,26116,16248
41,34790,21921
42,22523,14703
43,19689,13481
44,23874,15591
45,25937,17495
46,28784,18247
47,12510,7627
48,17348,11618
49,15325,9599
50,18249,12334
51,22832,14524
52,15743,9519
53,21793,14619
54,19852,12321
55,25264,16838
56,29706,18846
57,15092,10177
58,34781,19201
59,21505,13819
60,11756,7050
61,20908,13739
62,9115,6160
63,22856,15359
64,33113,20234
65,21944,14129
66,28818,19174
67,23480,15863
68,13209,9197
69,20820,14068
70,40881,29077
71,31099,22289
72,27982,19877
73,32132,21420
74,24841,16045
75,30513,20005
76,37988,24690
77,54791,38588
78,26264,18419
79,25260,16112
80,36018,24483
81,24517,16317
82,29844,20552
83,24588,16448
84,38307,24200
85,21350,14825
86,28415,18164
87,19509,11945
88,24520,17288
89,33795,22691
90,15583,9637
91,34649,22331
92,18893,11612
93,9835,5743
94,20360,13158
95,25198,16180
96,18981,12710
97,40630,26765
98,30482,21213
99,14644,9613
100,33278,20390
101,33019,21164
102,22085,15771
103,55033,34665
104,31911,21044
105,64224,41949
106,36807,24809
107,24995,16523
108,28551,18033
109,46123,29674
110,27190,17604
111,35201,23182
112,19816,12972
113,21591,14429
114,25662,16069
115,20016,12667
116,19888,12717
117,14116,9523
118,22643,13073
119,13529,9150
120,26503,17736
121,18832,11969
122,22029,15099
123,15023,10552
124,16307,11087
125,19344,13623
126,7694,5520
127,13461,9268
128,21478,15316
129,21656,14790
130,16873,11415
131,33765,23159
132,17350,11891
133,24431,16535
134,19398,13153
135,42403,29543
136,12694,8719
137,24418,15920
138,22934,15677
139,35986,23904
140,13940,9613
141,12515,8221
142,29821,19068
143,3587,2328
144,19798,13322
145,5274,3585
146,21558,14728
147,3651,2470
148,18552,12104
149,47143,30005
150,22733,14484
151,33418,20126
152,20590,14091
153,23246,14826
154,25630,17465
155,19106,12740
156,24834,17285
157,36334,23458
158,35334,22835
159,22553,15329
160,28692,18793
161,24652,16101
162,26356,16238
163,27163,18637
164,12030,8396
165,38477,26090
166,28387,19975
167,52258,35262
168,15820,9482
169,20755,14272
170,46342,31503
171,17723,10403
172,20412,13608
173,32232,19815
174,31812,18390
175,20893,13635
176,17604,11140
177,21929,14716
178,9484,6749
179,19646,14104
180,14839,10375
181,8993,6110
182,17641,12128
183,24084,16825
184,31526,22019
185,35045,23309
186,14222,9623
187,15548,10400
188,28239,18715
189,37849,24312
190,11168,8057
191,24411,18779
192,37844,23650
193,26769,18727
194,52998,34392
195,26312,18128
196,29682,19347
197,22047,14610
198,21268,14521
199,20530,13015
200,50835,32782
201,22711,15496
202,37346,24336
203,32094,22274
204,45257,30793
205,27185,17640
206,32363,21903
207,29517,19500
208,27278,18071
209,25939,17585
210,22847,15495
211,10528,7088
212,19011,12832
213,12438,8519
214,18820,12521
215,21849,14601
216,16755,11145
217,14952,10342
218,21523,14172
219,16715,11023
220,20446,13311
221,6896,4431
222,18835,12373
223,28958,18512
224,22338,15024
225,10375,6899
226,21389,13541
227,7236,4920
228,5921,4032
229,11719,7853
230,33570,22163
231,5430,3894
232,6378,4313
233,26540,16982
234,18142,11893
235,26820,18088
236,15173,10134
237,9536,6545
238,31089,21403
239,25985,17664
240,36746,24519
241,23032,14168
242,24758,15606
243,18974,12695
244,27764,18286
245,22301,14588
246,29779,21163
247,35876,21619
248,38082,24436
249,33526,20462
250,38623,23250
251,34969,23104
252,45370,27752
253,30305,19587
254,25472,16164
255,18758,12726
256,12644,8440
257,11719,7306
258,27239,16732
259,7774,5196
260,13265,8760
261,37091,24117
262,8432,5578
263,6386,4506
264,29328,18601
265,30127,19791
266,7552,4807
267,29314,19536
268,15827,10803
269,30941,20640
270,8553,5756
271,16496,10865
272,5473,3613
273,30313,21495
274,22389,14844
275,6402,4215
276,5774,3765
277,35178,22650
278,29000,18387
279,6260,4449
280,22269,14933
281,19946,12742
282,36999,22941
283,16343,11696
284,11770,7885
285,14157,9552
286,3770,2720
287,32914,20778
288,35088,22358
289,23056,15345
290,20756,13761
291,33919,21026
292,21040,13779
293,48460,30878
294,33118,22393
295,8511,5690
296,14600,9852
297,25434,14720
298,20755,12772
299,27938,17919
300,25939,16547
301,7574,5087
302,17547,11975
303,5725,3970
304,23083,14711
305,24313,15285
306,8539,6004
307,30043,19712
308,28856,19021
309,14501,9207
310,27108,17137
311,8714,6019
312,32643,20881
313,26300,15477
314,22990,15404
315,19871,12644
316,42860,28767
317,35615,24513
318,24587,16506
319,25405,17235
320,22758,14573
321,28113,16679
322,39176,22642
323,28825,20323
324,34074,21056
325,40189,26062
326,42469,27931
327,19421,13179
328,41920,29988
329,38210,25294
330,37763,25221
331,32020,19473
332,28754,17995
333,24632,15495
334,25024,16927
335,33206,22253
336,33645,21533
337,34216,21217
338,27698,17121
339,36357,24934
340,32033,19868
341,35994,23348
342,41609,27230
343,40810,23997
344,21043,14134
345,21513,15094
346,22278,15230
347,36448,22403
348,35621,23833
349,15126,10357
350,16558,11510
351,10957,7143
352,28575,19496
353,29017,19514
354,43324,27622
355,198695,144034
356,13717,8945
357,29775,18740
358,11705,6820
359,20031,13169
360,19828,13522
361,13824,9483
362,29031,19361
363,11021,6992
364,58718,34931
365,31652,20856
366,31201,21092
367,19564,12871
368,14639,10651
369,23517,15050
370,36400,24101
371,97759,67749
372,13426,9445
373,23583,14560
374,33022,22158
375,29420,19580
376,23639,15240
377,21641,13892
378,17205,11596
379,45770,28815
380,19350,11957
381,7221,4810
382,27556,18487
383,20177,13031
384,15031,10285
385,31381,19734
386,32126,22368
387,14070,9698
388,39506,25749
389,19484,13054
390,31241,21495
391,36287,22563
392,19381,13297
393,31538,19936
394,38328,23207
395,13397,8200
396,23508,14567
397,20254,11852
398,30812,19694
399,20249,13711
400,25368,16661
401,19614,13173
402,21806,13865
403,11318,7002
404,25700,17117
405,17462,11023
406,16332,10353
407,22310,13421
408,13810,9242
409,18525,11733
410,22521,16063
411,13307,8762
412,20891,13605
413,29181,16610
414,19973,12596
415,20782,13544
416,16873,10866
417,27097,17575
418,27296,15660
419,43634,28615
420,27172,18577
421,61448,37772
422,30809,20548
423,20646,14016
424,15958,10661
425,24297,16197
426,17458,12341
427,9414,6436
428,23705,16012
429,16025,11034
430,37742,26421
431,22245,14798
432,14828,9694
433,38091,25672
434,19842,13179
435,22465,14757
436,36464,24714
437,32031,22008
438,21940,14956
439,24131,15602
440,23257,15328
441,36946,24501
442,20770,13330
443,20432,13088
444,24208,16090
445,45416,29808
446,28341,18598
447,13295,8751
448,13063,9080
449,7561,5179
450,19114,11920
451,27504,18457
452,25164,15785
453,31684,19258
454,22170,14757
455,22800,13835
456,28223,19640
457,35543,18498
458,20540,12771
459,14210,9021
460,25328,16056
461,25037,14658
462,20882,13681
463,29456,19496
464,26003,17070
465,37968,24642
466,33580,21224
467,25908,17973
468,22803,15291
469,30321,19205
470,48407,31623
471,21628,13186
472,43320,27720
473,25073,16498
474,28491,18322
475,13993,9839
476,18633,12400
477,40018,27731
478,28727,19429
479,25169,17585
480,37756,26886
481,29381,19745
482,31606,19862
483,19962,12742
484,18942,11219
485,29606,17972
486,22902,15408
487,18550,12174
488,27632,15653
489,24853,15437
490,14262,10057
491,30419,19358
492,25268,16051
493,9542,6169
494,44021,27614
495,8466,5914
496,17533,11819
497,16603,10876
498,20249,13524
499,14033,9864
500,17227,10808
501,9498,6455
502,17969,12391
503,15118,10256
504,9430,6262
505,67497,45300
506,11566,7698
507,14748,10239
508,17776,11271
509,26151,17623
510,20456,12884
511,12289,8473
512,7004,4878
513,29479,20046
514,9486,6788
515,9459,6312
516,16161,10665
517,11760,7923
518,18423,11969
519,18092,12421
520,23400,15308
521,32407,21893
522,21737,14888
523,22727,15349
524,12953,8477
525,7788,4899
526,16599,10725
527,24755,17215
528,21579,12629
529,26620,17154
530,24950,16058
531,24464,15593
532,18104,9612
533,19444,12704
534,22802,14547
535,24771,15649
536,21866,14874
537,17613,11593
538,24402,15989
539,28821,18221
540,21706,14641
541,34301,21189
542,36641,24542
543,30721,18769
544,28783,18665
545,25892,17551
546,21736,14815
547,15060,10540
548,22054,14830
549,33960,22733
550,71730,44594
551,36375,21794
552,27969,17815
553,26465,17095
554,26517,17688
555,28267,18552
556,25535,16280
557,19363,12733
558,33621,22356
559,5068,3374
560,12426,8963
561,20292,13395
562,5614,3934
563,15807,10833
564,29953,21709
565,20720,14387
566,23655,16166
567,23269,15861
568,23522,15467
569,18149,12135
570,18731,11185
571,27475,18683
572,19915,12702
573,23640,15507
574,18488,12253
575,23968,16420
576,25395,16018
577,20486,13083
578,24633,17032
579,32113,20628
580,25238,16882
581,6529,4667
582,38241,25667
583,34560,23870
584,23648,16117
585,17806,12440
586,11439,7888
587,33007,22739
588,21136,14602
589,11602,8000
590,27429,18864
591,8669,6152
592,42647,26553
593,27590,18332
594,38384,26335
595,31215,19808
596,30359,18684
597,21874,14519
598,27150,19096
599,29627,20028
600,30872,21186
601,28241,17625
602,5828,3892
603,16059,11176
604,44725,27363
605,27965,18223
606,37894,23494
607,27473,17180
608,31663,20633
609,21933,14618
610,22592,14093
611,23100,15707
612,23224,14707
613,21741,14867
614,34560,22244
615,22099,14393
616,28959,18224
617,23086,14908
618,23805,14968
619,16198,10684
620,21254,14730
621,19125,12797
622,21396,14499
623,15199,10608
624,23311,16381
625,32975,22681
626,20919,12809
627,27566,18163
628,35750,24358
629,25601,16301
630,86238,58322
631,44206,28643
632,51114,35716
633,53232,35118
634,67116,46933
635,30296,21416
636,21495,15492
637,9000,5790
638,15015,9973
639,37742,23813
640,34405,21839
641,31668,19508
642,19826,13032
643,26194,17222
644,71678,47551
645,46389,30383
646,40146,25131
647,35622,23149
648,14519,10530
649,23841,16159
650,39657,27546
651,28634,19181
652,21079,13242
653,33758,22460
654,38798,26510
655,23618,15883
656,15347,10752
657,36483,26108
658,19950,12649
659,29297,20020
660,32213,20316
661,12644,8356
662,44828,31418
663,37101,26108
664,29766,19047
665,46447,31410
666,43552,25733
667,40817,26979
668,20498,13920
669,45220,29318
670,6677,4285
671,18786,12798
672,26260,18228
673,39300,25704
674,17913,12573
675,26828,17348
676,20907,13820
677,17978,11601
678,33442,22583
679,21450,14556
680,27450,16871
681,9151,6374
682,25465,16588
683,34083,22240
684,20229,13621
685,38070,25851
686,27423,17836
687,24121,16440
688,41521,28539
689,11520,7729
690,13167,8654
691,39968,23643
